manufacturer,segment,model,powertrain,gwv_t,dummy,gwv_t_max_t,gtw_t_raw,gtw_t,power_kW,energy_kWh,Single_Battery_Weight_kg,Battery_#,DC_Recaharg_kW,Recharge_Time,application,range_km,availability
Scania,truck,"P, G, R",BEV,18–33t,18,18.0,up to 74t,74,,,,,,,construction,up to 350 km,in series production
Scania,truck,"G, R",BEV,18–29t,18,18.0,up to 74t,74,,,,,,,regional,up to 450 km,in series production
Scania,truck,"R, S",BEV,18–29t,18,18.0,up to 74t,74,,,,,,,long haul,up to 550 km,in series production
Scania,bus/coach,K-chassis electric,BEV,19.5t,19,19.0,,0,,,,,,,urban bus,up to 500 km,in series production
Scania,bus/coach,K-chassis electric,BEV,26t,26,26.0,,0,,,,,,,coach,up to 400 km,in series production from 2026
Volvo Buses,bus/coach,7900 Electric,BEV,19.5t,19,19.0,,0,,,,,,,city bus,up to 500 km,in series production
Volvo Buses,bus/coach,7900 Electric Articulated,BEV,30t,30,30.0,,0,,,,,,,city bus,up to 450 km,in series production
Volvo Buses,bus/coach,BZL Electric,BEV,19.5t,19,19.0,,0,,,,,,,city bus,up to 500 km,in series production
Volvo Trucks,truck,FH Aero Electric,BEV,44t,44,44.0,,0,,,,,,,regional,300 km,in series production
Volvo Trucks,truck,FH Aero Electric,BEV,48t,48,48.0,,0,,,,,,,long haul,600 km,first orders from Q2 2026
Volvo Trucks,truck,FH Electric,BEV,44t,44,44.0,,0,,,,,,,regional,300 km,in series production
Volvo Trucks,truck,FH Electric,BEV,48t,48,48.0,,0,,,,,,,long haul,600 km,first orders from Q2 2026
Volvo Trucks,truck,FM Electric,BEV,44t,44,44.0,,0,,,,,,,regional,300 km,in series production
Volvo Trucks,truck,FMX Electric,BEV,44t,44,44.0,,0,,,,,,,construction,300 km,in series production
Volvo Trucks,truck,FM Low Entry,BEV,32t,32,32.0,,0,,,,,,,city,200 km,in series production
Volvo Trucks,truck,FE Electric,BEV,27t,27,27.0,,0,,,,,,,distribution,275 km,in series production
Volvo Trucks,truck,FL Electric,BEV,18.6t,18,18.0,,0,,,,,,,distribution,450 km,in series production
