country,system,effective_from,effective_to,co2_class_string,co2_class,euro_class,weight_band,axle_band,rate_cent_per_km,rate_eur_per_km,VAT,
DE,LKW-Maut,01/07/2024,31/12/2025,EK1,1,EuroIII,7.5-<12t,NA,25,0.25,0.19,EuroIII
DE,LKW-Maut,01/07/2024,31/12/2025,EK1,1,EuroIII,12-18t,NA,32.8,0.328,0.19,EuroIII
DE,LKW-Maut,01/07/2024,31/12/2025,EK1,1,EuroIII,>18t,<=3 axles,42.9,0.429,0.19,EuroIII
DE,LKW-Maut,01/07/2024,31/12/2025,EK1,1,EuroIII,>18t,4 axles,45.4,0.454,0.19,EuroIII
DE,LKW-Maut,01/07/2024,31/12/2025,EK1,1,EuroIII,>18t,>=5 axles,47.8,0.478,0.19,EuroIII
DE,LKW-Maut,01/07/2024,31/12/2025,EK1,1,EuroII,>3.5-<7.5t,NA,24.4,0.244,0.19,EuroII
DE,LKW-Maut,01/07/2024,31/12/2025,EK1,1,EuroII,7.5-<12t,NA,27.5,0.275,0.19,EuroII
DE,LKW-Maut,01/07/2024,31/12/2025,EK1,1,EuroII,12-18t,NA,34.8,0.348,0.19,EuroII
DE,LKW-Maut,01/07/2024,31/12/2025,EK1,1,EuroII,>18t,<=3 axles,45.9,0.459,0.19,EuroII
DE,LKW-Maut,01/07/2024,31/12/2025,EK1,1,EuroII,>18t,4 axles,48.7,0.487,0.19,EuroII
DE,LKW-Maut,01/07/2024,31/12/2025,EK1,1,EuroII,>18t,>=5 axles,51.1,0.511,0.19,EuroII
DE,LKW-Maut,01/07/2024,31/12/2025,EK1,1,EuroI,>3.5-<7.5t,NA,24.8,0.248,0.19,EuroI
DE,LKW-Maut,01/07/2024,31/12/2025,EK1,1,EuroI,7.5-<12t,NA,27.6,0.276,0.19,EuroI
DE,LKW-Maut,01/07/2024,31/12/2025,EK1,1,EuroI,12-18t,NA,35,0.35,0.19,EuroI
DE,LKW-Maut,01/07/2024,31/12/2025,EK1,1,EuroI,>18t,<=3 axles,48.4,0.484,0.19,EuroI
DE,LKW-Maut,01/07/2024,31/12/2025,EK1,1,EuroI,>18t,4 axles,51.2,0.512,0.19,EuroI
DE,LKW-Maut,01/07/2024,31/12/2025,EK1,1,EuroI,>18t,>=5 axles,51.6,0.516,0.19,EuroI
DE,LKW-Maut,01/07/2024,31/12/2025,EK2,2,EuroVI,>3.5-<7.5t,NA,14.7,0.147,0.19,EuroVI
DE,LKW-Maut,01/07/2024,31/12/2025,EK2,2,EuroVI,7.5-<12t,NA,17.3,0.173,0.19,EuroVI
DE,LKW-Maut,01/07/2024,31/12/2025,EK2,2,EuroVI,12-18t,NA,23.4,0.234,0.19,EuroVI
DE,LKW-Maut,01/07/2024,31/12/2025,EK2,2,EuroVI,>18t,<=3 axles,29.7,0.297,0.19,EuroVI
DE,LKW-Maut,01/07/2024,31/12/2025,EK2,2,EuroVI,>18t,4 axles,31.8,0.318,0.19,EuroVI
DE,LKW-Maut,01/07/2024,31/12/2025,EK2,2,EuroVI,>18t,>=5 axles,34,0.34,0.19,EuroVI
DE,LKW-Maut,01/07/2024,31/12/2025,EK3,3,EuroVI,>3.5-<7.5t,NA,14.4,0.144,0.19,EuroVI
DE,LKW-Maut,01/07/2024,31/12/2025,EK3,3,EuroVI,7.5-<12t,NA,16.9,0.169,0.19,EuroVI
DE,LKW-Maut,01/07/2024,31/12/2025,EK3,3,EuroVI,12-18t,NA,22.8,0.228,0.19,EuroVI
DE,LKW-Maut,01/07/2024,31/12/2025,EK3,3,EuroVI,>18t,<=3 axles,29,0.29,0.19,EuroVI
DE,LKW-Maut,01/07/2024,31/12/2025,EK3,3,EuroVI,>18t,4 axles,31,0.31,0.19,EuroVI
DE,LKW-Maut,01/07/2024,31/12/2025,EK3,3,EuroVI,>18t,>=5 axles,33.2,0.332,0.19,EuroVI
DE,LKW-Maut,01/07/2024,31/12/2025,EK4,4,EuroVI,>3.5-<7.5t,NA,11.4,0.114,0.19,EuroVI
DE,LKW-Maut,01/07/2024,31/12/2025,EK4,4,EuroVI,7.5-<12t,NA,13.7,0.137,0.19,EuroVI
DE,LKW-Maut,01/07/2024,31/12/2025,EK4,4,EuroVI,12-18t,NA,18.8,0.188,0.19,EuroVI
DE,LKW-Maut,01/07/2024,31/12/2025,EK4,4,EuroVI,>18t,<=3 axles,24.2,0.242,0.19,EuroVI
DE,LKW-Maut,01/07/2024,31/12/2025,EK4,4,EuroVI,>18t,4 axles,25.8,0.258,0.19,EuroVI
DE,LKW-Maut,01/07/2024,31/12/2025,EK4,4,EuroVI,>18t,>=5 axles,26.9,0.269,0.19,EuroVI
DE,LKW-Maut,01/07/2024,31/12/2025,EK5,5,ZEV,>3.5-<7.5t,NA,0,0,0.19,ZEV
DE,LKW-Maut,01/07/2024,31/12/2025,EK5,5,ZEV,7.5-<12t,NA,0,0,0.19,ZEV
DE,LKW-Maut,01/07/2024,31/12/2025,EK5,5,ZEV,12-18t,NA,0,0,0.19,ZEV
DE,LKW-Maut,01/07/2024,31/12/2025,EK5,5,ZEV,>18t,<=3 axles,0,0,0.19,ZEV
DE,LKW-Maut,01/07/2024,31/12/2025,EK5,5,ZEV,>18t,4 axles,0,0,0.19,ZEV
DE,LKW-Maut,01/07/2024,31/12/2025,EK5,5,ZEV,>18t,>=5 axles,0,0,0.19,ZEV
