manufacturer,model,powertrain,gwv_t,dummy,gwv_t_max_t,gtw_t_raw,gtw_t,power_kW,energy_kWh,Single_Battery_Weight_kg,Battery_#,DC_Recaharg_kW,Recharge_Time,H2_kg,H2_pressure_bar,application,range_km,availability,segment
Daimler Truck,eActros 400 successor,BEV,19–27t,19,19.0,40t,40,,,,,,,,,regional delivery,400 km,in series production,truck
Daimler Truck,eActros 600,BEV,19–27t,19,19.0,40t,44,400,621,,3,,70,,,regional delivery/long haul,500 km,in series production,truck
Daimler Truck,GenH2,FCEV,19–27t,19,19.0,40t,40,,,,,,,,,long haul,up to 1000 km,100 customer units,truck
Hyundai Truck,XCIENT 4x2,FCEV,19t,19,19.0,36t,36,,,,,,,,,long haul,400 km,in series production,truck
Hyundai Truck,XCIENT 6x2,FCEV,27.5t,27,27.0,40t,40,,,,,,,,,long haul,400 km,in series production,truck
MAN,eTGX Tractor,BEV,18–20t,18,18.0,up to 60t,60,,,,,,,,,regional/long haul,up to 500 km,in series production,truck
MAN,eTGS Tractor,BEV,18–20t,18,18.0,up to 60t,60,,,,,,,,,regional/long haul,up to 500 km,in series production,truck
MAN,eTGX 4x2 Chassis,BEV,18–20t,18,18.0,up to 50t,50,,,,,,,,,urban/regional/long haul,up to 600 km,in series production,truck
MAN,eTGS 4x2 Chassis,BEV,18–20t,18,18.0,up to 50t,50,,,,,,,,,urban/regional/long haul,up to 600 km,in series production,truck
MAN,eTGX 6x2 Chassis,BEV,26–28t,26,26.0,up to 50t,50,,,,,,,,,urban/regional/long haul,up to 700 km,in series production,truck
MAN,eTGS 6x2 Chassis,BEV,26–28t,26,26.0,up to 50t,50,,,,,,,,,urban/regional/long haul,up to 700 km,in series production,truck
MAN,Bayernflotte,FCEV,20t,20,20.0,42t,42,,,,,,,,,long haul,450–500 km,customer testing fleet (5 trucks) in 2026,truck
MAN,hTGX ICE H2,ICE H2,28–33t,28,28.0,up to 90t,90,,,,,,,,,long haul,up to 600 km,"200 vehicles, small series starting Q4/2025",truck
Scania,"L, P",BEV,18–33t,18,18.0,36t,36,,,,,,,,,city,up to 350 km,in series production,truck
Scania,"P, G, R",BEV,18–33t,18,18.0,up to 74t,74,,,,,,,,,construction,up to 350 km,in series production,truck
Scania,"G, R",BEV,18–29t,18,18.0,up to 74t,74,,,,,,,,,regional,up to 450 km,in series production,truck
Scania,"R, S",BEV,18–29t,18,18.0,up to 74t,74,,,,,,,,,long haul,up to 550 km,in series production,truck
Volvo Trucks,FH Aero Electric,BEV,44t,44,44.0,,0,,,,,,,,,regional,300 km,in series production,truck
Volvo Trucks,FH Aero Electric,BEV,48t,48,48.0,,0,,,,,,,,,long haul,600 km,first orders from Q2 2026,truck
Volvo Trucks,FH Electric,BEV,44t,44,44.0,,0,,,,,,,,,regional,300 km,in series production,truck
Volvo Trucks,FH Electric,BEV,48t,48,48.0,,0,,,,,,,,,long haul,600 km,first orders from Q2 2026,truck
Volvo Trucks,FM Electric,BEV,44t,44,44.0,,0,,,,,,,,,regional,300 km,in series production,truck
Volvo Trucks,FMX Electric,BEV,44t,44,44.0,,0,,,,,,,,,construction,300 km,in series production,truck
Volvo Trucks,FM Low Entry,BEV,32t,32,32.0,,0,,,,,,,,,city,200 km,in series production,truck
Volvo Trucks,FE Electric,BEV,27t,27,27.0,,0,,,,,,,,,distribution,275 km,in series production,truck
Volvo Trucks,FL Electric,BEV,18.6t,18,18.0,,0,,,,,,,,,distribution,450 km,in series production,truck
Renault Trucks,E-Tech Trafic,BEV,3.1t,3.,3.1,,0,,,,,,,,,distribution,up to 300 km,in series production,truck
Renault Trucks,E-Tech Master,BEV,3.5t,3.,3.0,,0,,,,,,,,,distribution,up to 200 km,in series production,truck
Renault Trucks,E-Tech D,BEV,16t,16,16.0,,0,,,,,,,,,distribution,up to 560 km,in series production,truck
Renault Trucks,E-Tech D WIDE,BEV,19t & 26t,19,19.0,,0,,,,,,,,,distribution & city construction,up to 560 km,in series production,truck
Renault Trucks,E-Tech T,BEV,44t,44,44.0,,0,,,,,,,,,regional,up to 300 km,in series production,truck
Renault Trucks,E-Tech C,BEV,44t,44,44.0,,0,,,,,,,,,urban construction,up to 300 km,in series production,truck
Ford Trucks,F-Line E 4x2,BEV,19t,19,19.0,,0,,,,,,,,,regional,up to 250 km,series production in September 2025,truck
Ford Trucks,F-Line E 6x2,BEV,27t,27,27.0,,0,,,,,,,,,regional,up to 300 km,series production in September 2025,truck
Daimler Truck/Buses,eCitaro Solo,BEV,20t,20,20.0,,0,,,,,,,,,city bus,up to 360 km,in series production,bus/coach
Daimler Truck/Buses,eCitaro Artic.,BEV,30t,30,30.0,,0,,,,,,,,,city bus,up to 300 km,in series production,bus/coach
Daimler Truck/Buses,eO500U 2134,BEV,21.5t,21,21.0,,0,,,,,,,,,city bus (chassis),up to 350 km,in series production,bus/coach
Daimler Truck/Buses,eCitaro K,BEV,19.5t,19,19.0,,0,,,,,,,,,city bus,up to 360 km,in series production,bus/coach
Daimler Truck/Buses,eCitaro fuel cell Artic.,BEV/FCEV,30t,30,30.0,,0,,,,,,,,,city bus,up to 400 km,in series production,bus/coach
Daimler Truck/Buses,eCitaro fuel cell Solo,BEV/FCEV,20t,20,20.0,,0,,,,,,,,,city bus,up to 400 km,in series production,bus/coach
Daimler Truck/Buses,eIntouro,BEV,19.5t,19,19.0,,0,,,,,,,,,interurban bus,up to 500 km,delivery in 2026,bus/coach
IVECO,E-WAY 9 & 10 m,BEV,18t,18,18.0,,0,,,,,,,,,city bus heavy urban/urban,200–300 km with HVAC,in series production,bus/coach
IVECO,E-WAY 12 m,BEV,20t,20,20.0,,0,,,,,,,,,city bus heavy urban/urban,200–300 km with HVAC,in series production,bus/coach
IVECO,E-WAY 18 m,BEV,30t,30,30.0,,0,,,,,,,,,city bus heavy urban/urban,200–300 km with HVAC,in series production,bus/coach
IVECO,CROSSWAY LE Elec Class I,BEV,20t,20,20.0,,0,,,,,,,,,city bus urban/suburban,200–300 km with HVAC,in series production,bus/coach
IVECO,CROSSWAY LE Elec Class II,BEV,20t,20,20.0,,0,,,,,,,,,intercity bus suburban/interurban,300–350 km with HVAC,in series production,bus/coach
IVECO,DAILY minibus,BEV,7.2t,7.,7.0,,0,,,,,,,,,minibus,200 km with HVAC,in series production,bus/coach
IVECO,E-WAY H2 12 m,FCEV,20t,20,20.0,,0,,,,,,,,,city bus heavy urban/urban,300–450 km with HVAC,in series production from 2025,bus/coach
Scania,K-chassis electric,BEV,19.5t,19,19.0,,0,,,,,,,,,urban bus,up to 500 km,in series production,bus/coach
Scania,K-chassis electric,BEV,26t,26,26.0,,0,,,,,,,,,coach,up to 400 km,in series production from 2026,bus/coach
MAN,Lion's City 10 E,BEV,19.5t,19,19.0,,0,,,,,,,,,city bus,up to 310 km,in series production,bus/coach
MAN,Lion's City 12 E,BEV,19.5t,19,19.0,,0,,,,,,,,,city bus,up to 380 km,in series production,bus/coach
MAN,Lion's City 18 E,BEV,29.9t,29,29.0,,0,,,,,,,,,city bus,up to 370 km,in series production,bus/coach
MAN,Lion's City 12 E LE,BEV,19.5t,19,19.0,,0,,,,,,,,,city bus/suburban,up to 380 km,in series production from Q3 2025,bus/coach
MAN,Lion's Coach 14 E,BEV,27.3t,27,27.0,,0,,,,,,,,,coach,up to 650 km,in series production from end 2026,bus/coach
Volvo Buses,7900 Electric,BEV,19.5t,19,19.0,,0,,,,,,,,,city bus,up to 500 km,in series production,bus/coach
Volvo Buses,7900 Electric Articulated,BEV,30t,30,30.0,,0,,,,,,,,,city bus,up to 450 km,in series production,bus/coach
Volvo Buses,BZL Electric,BEV,19.5t,19,19.0,,0,,,,,,,,,city bus,up to 500 km,in series production,bus/coach
