manufacturer,model,powertrain,gwv_t,gtw_t,application,range,availability,segment
IVECO,"CROSSWAY LE Elec Class I",BEV,20t,"","city bus urban/suburban","200–300 km with HVAC",in series production,bus/coach
IVECO,"CROSSWAY LE Elec Class II",BEV,20t,"","intercity bus suburban/interurban","300–350 km with HVAC",in series production,bus/coach
IVECO,"DAILY minibus",BEV,7.2t,"",minibus,"200 km with HVAC",in series production,bus/coach
IVECO,"E-WAY H2 12 m",FCEV,20t,"","city bus heavy urban/urban","300–450 km with HVAC","in series production from 2025",bus/coach
Scania,"K-chassis electric",BEV,19.5t,"",urban bus,"up to 500 km",in series production,bus/coach
Scania,"K-chassis electric",BEV,26t,"",coach,"up to 400 km","in series production from 2026",bus/coach
MAN,"Lion's City 10 E",BEV,19.5t,"",city bus,"up to 310 km",in series production,bus/coach
MAN,"Lion's City 12 E",BEV,19.5t,"",city bus,"up to 380 km",in series production,bus/coach
MAN,"Lion's City 18 E",BEV,29.9t,"",city bus,"up to 370 km",in series production,bus/coach
MAN,"Lion's City 12 E LE",BEV,19.5t,"","city bus/suburban","up to 380 km","in series production from Q3 2025",bus/coach
MAN,"Lion's Coach 14 E",BEV,27.3t,"",coach,"up to 650 km","in series production from end 2026",bus/coach
"Volvo Buses","7900 Electric",BEV,19.5t,"",city bus,"up to 500 km",in series production,bus/coach
"Volvo Buses","7900 Electric Articulated",BEV,30t,"",city bus,"up to 450 km",in series production,bus/coach
"Volvo Buses","BZL Electric",BEV,19.5t,"",city bus,"up to 500 km",in series production,bus/coach
